Date|Type|Marché|Nombre d'annonces|Notes|Titre|Intitulé|TJM|Séniorité|Technos principales|Technos secondaires|Compétences principales|Compétences secondaires|Secteur|Localisation|Rythme|Entreprise|Contact|Lien|Sophistication du marché|Capitalisation de l'apprentissage|Fiabilité
2025-04-20|Marché|Développeur React|12.0||||||||||||||||||
2025-04-21|Marché|Développeur React|15.0||||||||||||||||||
2025-04-22|Marché|Développeur React|13.0||||||||||||||||||
2025-04-23|Marché|Développeur React|14.0||||||||||||||||||
2025-04-24|Marché|Développeur React|16.0||||||||||||||||||
2025-04-25|Marché|Développeur React|18.0||||||||||||||||||
2025-04-26|Marché|Développeur React|20.0||||||||||||||||||
2025-04-27|Marché|Développeur React|19.0||||||||||||||||||
2025-04-28|Marché|Développeur React|14.0||||||||||||||||||
2025-04-20|Marché|Chef de projet IT|9.0||||||||||||||||||
2025-04-21|Marché|Chef de projet IT|11.0||||||||||||||||||
2025-04-22|Marché|Chef de projet IT|8.0||||||||||||||||||
2025-04-23|Marché|Chef de projet IT|10.0||||||||||||||||||
2025-04-24|Marché|Chef de projet IT|9.0||||||||||||||||||
2025-04-25|Marché|Chef de projet IT|12.0||||||||||||||||||
2025-04-26|Marché|Chef de projet IT|11.0||||||||||||||||||
2025-04-27|Marché|Chef de projet IT|10.0||||||||||||||||||
2025-04-28|Marché|Chef de projet IT|9.0||||||||||||||||||
2025-04-20|Marché|Data Analyst|7.0||||||||||||||||||
2025-04-21|Marché|Data Analyst|8.0||||||||||||||||||
2025-04-22|Marché|Data Analyst|9.0||||||||||||||||||
2025-04-23|Marché|Data Analyst|7.0||||||||||||||||||
2025-04-24|Marché|Data Analyst|6.0||||||||||||||||||
2025-04-25|Marché|Data Analyst|8.0||||||||||||||||||
2025-04-26|Marché|Data Analyst|7.0||||||||||||||||||
2025-04-27|Marché|Data Analyst|9.0||||||||||||||||||
2025-04-28|Marché|Data Analyst|8.0||||||||||||||||||
2025-04-20|Offre|Développeur React||||Développeur React|500.0|3 ans|React|Node.js,TypeScript|Développement web,Frontend|Tests unitaires,CI/CD|Tech|Paris|Hybride|TechCorp|Julie Durand|https://exemple.com/offre1|||
2025-04-21|Offre|Développeur Python||||Développeur Python|550.0|5 ans|Python|Django,Flask|Architecture API,Programmation orientée objet|Docker,Tests automatisés|Finance|Lyon|Distanciel|FinServe|Jean Martin|https://exemple.com/offre2|||
